strategy,amount_mxn,horizon_days,rate_shock_bp,institution,type,product,term_days,rate_annual,allocated_mxn,gross_interest_mxn
D. All in best SOFIPO fixed term,300000,90,50,Stori,SOFIPO,Fixed term 90d,90,0.11,300000,8136.99
"E. Split, protected products only",300000,90,50,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"E. Split, protected products only",300000,90,50,Ualá,Bank,On demand (Plus),0,0.15,30000,1109.59
"E. Split, protected products only",300000,90,50,DiDi,SOFIPO,On demand,0,0.15,10000,369.86
"E. Split, protected products only",300000,90,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,924.66
"E. Split, protected products only",300000,90,50,Nu,Bank,Cajita Turbo,0,0.13,25000,801.37
"E. Split, protected products only",300000,90,50,Openbank,Bank,Apartados Open,0,0.13,30000,961.64
"E. Split, protected products only",300000,90,50,Mifel,Bank,Cuenta Digital,0,0.1,155000,3821.92
"F. Split, including Mercado Pago",300000,90,50,Revolut,Bank,Savings (on demand),0,0.15,25000,924.66
"F. Split, including Mercado Pago",300000,90,50,Ualá,Bank,On demand (Plus),0,0.15,30000,1109.59
"F. Split, including Mercado Pago",300000,90,50,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,924.66
"F. Split, including Mercado Pago",300000,90,50,DiDi,SOFIPO,On demand,0,0.15,10000,369.86
"F. Split, including Mercado Pago",300000,90,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,924.66
"F. Split, including Mercado Pago",300000,90,50,Nu,Bank,Cajita Turbo,0,0.13,25000,801.37
"F. Split, including Mercado Pago",300000,90,50,Openbank,Bank,Apartados Open,0,0.13,30000,961.64
"F. Split, including Mercado Pago",300000,90,50,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,739.73
"F. Split, including Mercado Pago",300000,90,50,Mifel,Bank,Cuenta Digital,0,0.1,105000,2589.04
A. All in Stori on demand (SOFIPO),300000,180,0,Stori,SOFIPO,On demand,0,0.0725,300000,10726.03
B. All in Nu Cajita (bank),300000,180,0,Nu,Bank,Cajita (on demand),0,0.065,300000,9616.44
C. All in CETES (GBM),300000,180,0,CETES (via GBM or Cetesdirecto),Government,CETES 182d,180,0.0691,300000,10223.01
D. All in best SOFIPO fixed term,300000,180,0,Stori,SOFIPO,Fixed term 180d,180,0.1,300000,14794.52
"E. Split, protected products only",300000,180,0,Revolut,Bank,Savings (on demand),0,0.15,25000,1849.32
"E. Split, protected products only",300000,180,0,Ualá,Bank,On demand (Plus),0,0.15,30000,2219.18
"E. Split, protected products only",300000,180,0,DiDi,SOFIPO,On demand,0,0.15,10000,739.73
"E. Split, protected products only",300000,180,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,1849.32
"E. Split, protected products only",300000,180,0,Nu,Bank,Cajita Turbo,0,0.13,25000,1602.74
"E. Split, protected products only",300000,180,0,Openbank,Bank,Apartados Open,0,0.13,30000,1923.29
"E. Split, protected products only",300000,180,0,Mifel,Bank,Cuenta Digital,0,0.1,155000,7643.84
"F. Split, including Mercado Pago",300000,180,0,Revolut,Bank,Savings (on demand),0,0.15,25000,1849.32
"F. Split, including Mercado Pago",300000,180,0,Ualá,Bank,On demand (Plus),0,0.15,30000,2219.18
"F. Split, including Mercado Pago",300000,180,0,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,1849.32
"F. Split, including Mercado Pago",300000,180,0,DiDi,SOFIPO,On demand,0,0.15,10000,739.73
"F. Split, including Mercado Pago",300000,180,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,1849.32
"F. Split, including Mercado Pago",300000,180,0,Nu,Bank,Cajita Turbo,0,0.13,25000,1602.74
"F. Split, including Mercado Pago",300000,180,0,Openbank,Bank,Apartados Open,0,0.13,30000,1923.29
"F. Split, including Mercado Pago",300000,180,0,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,1479.45
"F. Split, including Mercado Pago",300000,180,0,Mifel,Bank,Cuenta Digital,0,0.1,105000,5178.08
A. All in Stori on demand (SOFIPO),300000,180,50,Stori,SOFIPO,On demand,0,0.0725,300000,10356.16
B. All in Nu Cajita (bank),300000,180,50,Nu,Bank,Cajita (on demand),0,0.065,300000,9246.58
C. All in CETES (GBM),300000,180,50,CETES (via GBM or Cetesdirecto),Government,CETES 182d,180,0.0691,300000,10223.01
D. All in best SOFIPO fixed term,300000,180,50,Stori,SOFIPO,Fixed term 180d,180,0.1,300000,14794.52
"E. Split, protected products only",300000,180,50,Revolut,Bank,Savings (on demand),0,0.15,25000,1818.49
"E. Split, protected products only",300000,180,50,Ualá,Bank,On demand (Plus),0,0.15,30000,2182.19
"E. Split, protected products only",300000,180,50,DiDi,SOFIPO,On demand,0,0.15,10000,727.4
"E. Split, protected products only",300000,180,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,1818.49
"E. Split, protected products only",300000,180,50,Nu,Bank,Cajita Turbo,0,0.13,25000,1571.92
"E. Split, protected products only",300000,180,50,Openbank,Bank,Apartados Open,0,0.13,30000,1886.3
"E. Split, protected products only",300000,180,50,Mifel,Bank,Cuenta Digital,0,0.1,155000,7452.74
"F. Split, including Mercado Pago",300000,180,50,Revolut,Bank,Savings (on demand),0,0.15,25000,1818.49
"F. Split, including Mercado Pago",300000,180,50,Ualá,Bank,On demand (Plus),0,0.15,30000,2182.19
"F. Split, including Mercado Pago",300000,180,50,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,1818.49
"F. Split, including Mercado Pago",300000,180,50,DiDi,SOFIPO,On demand,0,0.15,10000,727.4
"F. Split, including Mercado Pago",300000,180,50,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,1818.49
"F. Split, including Mercado Pago",300000,180,50,Nu,Bank,Cajita Turbo,0,0.13,25000,1571.92
"F. Split, including Mercado Pago",300000,180,50,Openbank,Bank,Apartados Open,0,0.13,30000,1886.3
"F. Split, including Mercado Pago",300000,180,50,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,1448.63
"F. Split, including Mercado Pago",300000,180,50,Mifel,Bank,Cuenta Digital,0,0.1,105000,5048.63
A. All in Stori on demand (SOFIPO),300000,365,0,Stori,SOFIPO,On demand,0,0.0725,300000,21750.0
B. All in Nu Cajita (bank),300000,365,0,Nu,Bank,Cajita (on demand),0,0.065,300000,19500.0
C. All in CETES (GBM),300000,365,0,CETES (via GBM or Cetesdirecto),Government,CETES 364d,365,0.0724,300000,21720.0
